lang_id	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59
117	Access Tokens																																																										dummy
118	Access Your Medical Records		Acceda a sus registros médicos	Acceda a sus registros medicos	Greifen Sie auf Ihre medizinischen Unterlagen zu	Uw medische registraties inzien	גישה לרשומות הרפואיות שלך	Accédez à vos documents médicaux	Accèdez à vos informations médicales							Akses Rekam Medis Anda	Πρόσβαση στον Ιατρικό Φάκελό σας		Acesse seus registros médicos	Acesse seus registros médicos	Acesse seus registros médicos	الوصول إلى السجلات الطبية الخاصة بك			Dostęp do Twoich Danych Medycznych				Accesati inregistrarile dvs medicale	Truy nhập Các bản ghi Y khoa Của bạn				Доступ До Ваших Медичних Записів			دسترسی به سوابق پزشکی شما												Эмнэлгийн бүртгэлдээ нэвтрэх										dummy
119	Access Your Patient Portal	Öppna patientöversikten	Acceder al Portal del Paciente	Acceder al Portal del Paciente	Zugang zum Patientenportal	Naar eigen Patienten toegang	גש לפורטל המטופלים שלך	Accédez à votre Portail Patients	Accédez à votre Portail Patient		访问客户管理门户	進入你的病人入口網站	Портал для доступа вашего пациента	Մուտք գործեք Ձեր հիվանդի պորտալ		Silahkan akses portal pasien anda	Πρόσβαση στο Portal Ασθενούς		Acesso ao Portal do Cliente	Acesse o Portal do Paciente	Acesso ao Portal do Cliente	الوصول إلى بوابة مريضكم	Få adgang til din patient Portal	Hasta Kaydı Erişiminiz	Dostęp portalu Pacjenta		Accedi al Portale del Paziente	अपने रोगी पोर्टल को एक्सेस करिये	Acces in portalul pacientului	Truy nhập Cổng thông tin Bệnh nhân Của bạn		Akseso portalin e pacientit tuaj	Přístup do pacientského portálu	Доступ До Порталу Вашого Пацієнта	পেশেন্ট পোর্টাল এক্সেস করুন	Suundu oma patsiendi portaali	دسترسی به پورتال بیمار شما	Prisijungti prie savo pacientų portalo		患者ポータルへアクセス	Avaa potilaan yhteenveto						आपले रुग्णांच्या पोर्टल प्रवेश	Fasax ayaad u heysataa qeybta bukaanka	Өвчтөний порталд хандах	अपने रोगी पोर्टल को एक्सेस करिये									dummy
120	Accident		Accidente	Accidente	Unfall	Ongeval	תאונה	Accident	Accident				Проишествие	Պատահար		Kecelakaan	Ατύχημα		Acidente	Acidente	Acidente	حادث	Ulykke	Kaza	zdarzenie		Infortunio		Accident	Tai nạn		Fatëkeqësi	Nehoda	Нещасний випадок	দুর্ঘটনা		تصادف			事故	Onnettomuus						अपघात	Shil	Осол										dummy
121	Account		Cuenta	Cuenta	Konto	Rekening	חשבון	Compte	Compte							Akun	Λογαριασμός		Conta	Conta	Conta	الحساب			Konto				Cont	Tài khoản				Рахунок			حساب												Данс										dummy
122	Account Id						מזהה חשבון (ID)															رقم الحساب							ID Cont					Ідентифікатор облікового запису																									dummy
123	Account Id issued for NewCrop eRx service, used to separate multi-facility accounts.			Id de cuenta otorgada a NewCrop eRX service, usado para separar cuentas de múltiples localidades.	Die für den NewCrop eRx-Dienst ausgegebene Konto-ID, die zum Trennen von Konten mit mehreren Einrichtungen verwendet wird.	Account Id afgegeven voor NewCrop eRxservice, wordt gebruikt om multi-faciliteit accounts te onderscheiden	מזהה חשבון המונפק עבור שירות NewCrop eRx, משמש להפרדה בין חשבונות במקרה של ריבוי מתקנים.	L\'identifiant du compte fourni pour le service NewCrop eRx, utilisé afin de distinguer les comptes multi-installation	L\'identifiant du compte fourni pour le service NewCrop eRx, utilisé afin de distinguer les comptes multi-installation					Account Id issued for NewCrop eRx service, used to separate multi-facility accounts.		ID Akun dikeluarkan untuk layanan NewCrop e-Resep, digunakan untuk memisahkan akun dengan fitur multi-fasilitas			Id de conta atribuído para serviço NewCrop eRx, usado para separar contas multi-instalações	ID da conta emitido para o serviço eRx NewCrop, usado para separar contas multi-facility.	Id de conta atribuído para serviço NewCrop eRx, usado para separar contas multi-instalações			Hesap Yeni ereçete servisi için, çoklu kurum hesaplarını ayırmak için	Identyfikator konta wydany dla usługi NewCrop eRx, służący do oddzielania kont dla wielu urządzeń.				Cont asociat cu o entitate straina, utilizat pentru separarea conturilor cu roluri multiple.	Đã cấp mã tài khoản cho dịch vụ NewCrop eRx, dùng để phân tách các tài khoản của nhiều cơ sở.		ID e llogarise eshte dhene per sherbimet NewCrop eRx, shfrytezuar per te ndare llogarite shume objektesh		Ідентифікатор рахунку, виданий для сервісу NewCrop eRx, використовується для поділу рахунків декількох об\'єктів.			شناسه حساب برای خدمات NewCrop ERX صادر شد، مورد استفاده برای جداسازی حساب های با چند امکانات			アカウントIDは、多施設アカウントを分離するために使用されるNewCrop ERXサービス、のために発行しました。								Aqoonsiga xisaabta la bixiyey ee adeega NewCrop eRx, waxaa loo adeegsadaa in lagu kala saaro howlfudeynta-badan ee xisaabaadka.											dummy
124	Account Id issued for Weno eRx service.				Konto-ID für Weno eRx-Dienst vergeben.	Account ID afgegeven voor eRx service		L\'identifiant du compte pour le service NewCrop eRx fourni, utilisé pour séparer des comptes multi-établissements.											Identificação da conta emitida para o serviço Weno eRx	Identificação da conta emitida para o serviço Weno eRx	Identificação da conta emitida para o serviço Weno eRx				Identyfikator konta wydany dla usługi Weno eRx.				Id-ul contului emis pentru serviciul WEN eRx.	Đã cấp mã tài khoản cho dịch vụ Weno eRx.				Ідентифікатор облікового запису, виданий для служби Weno eRx.			شناسه حساب برای خدمات Weno ERX صادر شد												Weno eRx үйлчилгээнд зориулагдсан Дансны дугаар гаргасан.										dummy
125	Account Id issued for Your clinics eRx service.			El Id de la cuenta es emitido por su servicio de Rx de la clinica	Konto-ID für eigene Kliniken eRx - Dienst	Account ID afgegeven voor  Uw clinische eRx service		Identifiant du compte pour le service eRx de votre établissement de soins.											Identificação de conta emitida para o seu serviço de clínicas eRx	Identificação de conta emitida para o seu serviço de clínicas eRx	Identificação de conta emitida para o seu serviço de clínicas eRx				Identyfikator konta wydany dla usługi eRx Twoich klinik.				Id-ul contului emis pentru serviciul WEN eRx pentru clinici.	Đã cấp mã tài khoản cho dịch vụ eRx Y tế của bạn. 				Ідентифікатор облікового запису, виданий для вашого сервісу clinics eRx.			شناسه حساب برای خدمات Weno ERX صادر شد												Таны эмнэлгүүдийн eRx үйлчилгээнд зориулан олгосон дансны дугаар.										dummy
126	Account is validated. Send new credentials?		Cuenta validada. ¿Enviar credenciales nuevas?	Cuenta validada. Enviar credenciales nuevas ?	Konto ist validiert. Neue Anmeldeinformationen senden?	Account is gevalideerd. Nieuwe gegevens toezenden?		Le compte est validé. Envoyer une nouvelle accréditation ?									Ο Λογαριασμός επικυρώθηκε. Αποστολή νέων στοιχείων εισόδου;		A conta está validada. Enviar novas credenciais?	A conta está validada. Enviar novas credenciais?	A conta está validada. Enviar novas credenciais?				Konto zostało zatwierdzone. Wysłać nowe dane uwierzytelniające?				Contul este validat. Trimiteti credentiale noi?	Đã xác nhận tài khoản. Có gửi thông tin xác thực?				Обліковий запис перевірено. Надіслати нові облікові дані?			حساب تایید شده است. اطلاعات کاربری جدید ارسال شود؟												Акаунт баталгаажсан байна. Шинэ жуух илгээх үү?										dummy
127	Account Name	Konto namn	Nombre de la Cuenta	Nombre de Cuenta	Benutzername	Account naam	שם חשבון	Nom du Compte	Nom du Compte	Kontonavn	帐号名	帳目名稱	Имя учетной записи	Հաշվի անունը		Nama Akun	Όνομα Λογαριασμού		Nome da Conta	Nome da Conta	Nome da Conta	اسم الحساب	Konto navn	Hesap Adı	Nazwa konta		Nome dell\'account	खातेदार का नाम	Numele contului	Tên Tài khoản		Emer llogarie	Název účtu	ім\'я облікового запису	Account নাম	Konto nimi	نام حساب	Paskyros pavadinimas		アカウント名	Tilin nimi						खात्याचे नाव	Magaca xisaabata	Дансны нэр	खातेदार का नाम									dummy
128	Account Name issued for NewCrop eRx service.		Nombre de cuenta emitido para NewCrop eRx service.	Nombre de cuenta otorgado para NewCrop eRx service.	Benutzrname für NewCrop eRx-Dienst vergeben	Account Name afgegeven voor newCrop eRx service.	שם חשבון שהונפק עבור שירות NewCrop eRx.	Nom du compte fourni pour le service NewCrop eRx.	Nom du compte fourni pour le service NewCrop eRx.					Հաշվի անունը սահմանվել է  NewCrop eRx ծառայության համար					Nome de Conta atribuído para serviço NewCrop eRx.	Nome de Conta atribuído para serviço NewCrop eRx.	Nome de Conta atribuído para serviço NewCrop eRx.			Hesap İsmi Yeni ereçete hizmeti için	Nazwa konta wystawiona dla usługi NewCrop eRx.				Nume cont initiat pentru serviciu NewCrop eRx.	Đã cấp tên cho dịch vụ NewCrop eRx.		Emri i llogarise eshte dhene per sherbimet NewCrop eRx.		Ім\'я облікового запису, виданого для служби NewCrop eRx.			نام حساب برای خدمات NewCrop ERX صادر شد.			アカウント名はNewCrop ERXサービスのために発行されます。								Magaca xisaabata la bixiyey ee adeega NewCrop eRx.	NewCrop eRx үйлчилгээнд олгосон Дансны нэр.										dummy
129	Account Password issued for NewCrop eRx service.		Contraseña de cuenta emitida para NewCrop eRx service.	Contraseña de cuenta otorgada para NewCrop eRx service.	Password für NewCrop eRx-Dienst vergeben	Account Name afgegeven voor NewCrop eRx service.	סיסמת חשבון שהונפקה עבור שירות NewCrop eRx.	Mot de passe du compte fourni pour le service NewCrop eRx.	Mot de passe du compte fourni pour le service NewCrop eRx.					Հաշվի գաղտնաբառը սահմանվել է  NewCrop eRx ծառայության համար					Palavra-passe da Conta atribuída para serviço NewCrop eRx.	Palavra-passe da Conta atribuída para serviço NewCrop eRx.	Palavra-passe da Conta atribuída para serviço NewCrop eRx.			Hesap şifresi yeni ereçete hizmeti için	Hasło konta wydane dla usługi NewCrop eRx.				Parola cont entitate straina	Đã cấp mật khẩu cho dịch vụ NewCrop eRx.		Fjalekalimi i llogarise eshte dhene per sherbimet NewCrop eRx.		Пароль облікового запису, виданий для сервісу NewCrop eRx.			کلمه عبور حساب کاربری  برای خدمات NewCrop ERX صادر شد.			NewCrop ERXサービスのために発行したアカウントのパスワード。								Weedhsirta ah ee loo bixiyey xisaabta adeega NewCrop eRx.	NewCrop eRx үйлчилгээнд зориулсан Акаунтын нууц үг гарсан.										dummy
130	Account Registration																												Înregistrarea contului					Реєстрація облікового запису																									dummy
131	Accounting	Redovisning	Contabilidad	Contabilidad	Buchhaltung	Boekhouding	חשבונאות	Comptabilité	Comptabilité	Regnskap	会计	會計	Учёт	Հաշվառում /Հաշվապահություն		Akuntansi	Λογιστικά		Contabilidade	Contabilidade	Contabilidade	المحاسبة	Regnskab	Muhasebe	Księgowość		Definizione dell\'account	अच्कोउन्तिंग	Contabilitate	Kế toán		Kontabilitet	Účetnictví	Облік		Arvepidamine	حسابداری			アカウント管理	Tilinhallinta						लेखा	Xisaabaadka	Нягтлан бодох бүртгэл	अच्कोउन्तिंग									dummy
132	Accounting (acct)		Contabilidad	Contabilidad	Buchhaltung	Boekhouding (acct)													Contabilidade (acct)	Contabilidade (acct)	Contabilidade (acct)				Księgowość				Contabilitate (acct)	Kế toán (kt)				Бухгалтерський облік (acct)			حسابداری (acct)												Нягтлан бодох бүртгэл (acct)										dummy
133	Accounting Transactions Export																																																										dummy
134	Accounting transactions export to CSV																																																										dummy
135	Accountings		Contabilidad	Contabilidad	Buchhaltung	Boekhoudingen													Prestações de contas	Prestações de contas	Prestações de contas				Rachunkowość				Contabilitati	Kế toán				Бухгалтерський облік			محاسبات												Нягтлан бодох бүртгэл										dummy
136	Acct		Contab.	Acct	Buchh	Acct	חשבון	Acct						Հշվպ․			Λογιστ.		Acct	Conta	Acct			Muhs					Acct	Kt		LLog		Acct			Acct											Xisaab	Акт										dummy
137	ACD{{anterior chamber depth}}		ACD{{profundidad de camara anterior}}	ACD{{profundidad de camara anterior}}	ACD{{vordere Kammertiefe}}	ACD{{voorste kamer diepte}}		ACD{{profondeur de la chambre anterieur}}	ACD{{profondeur de la chambre anterieur}}				Глубина передней камеры						ACD{{profundidade da câmara anterior}}	ACD{{profundidade da câmara anterior}}	ACD{{profundidade da câmara anterior}}			ÖKD{{Ön kamera derinliği}}					PCA{{profunzime camera anterioara}}					ACD{{глибина передньої камери}}			ACD {{عمق اتاقک قدامی}}												ACD {{өрөөний урд талын гүн}}										dummy
138	Aches	värker	Dolores	Dolores	Beschwerden/Schmerzen	Pijn	כאבים	Douleurs	Douleurs		疼痛	疼痛	Боли	Ցավեր		Nyeri	Άλγη		Dores	Dores	Dores	آلام	Ømhed	Ağrıları	Bóle		Dolori	दर्द	Dureri	Đau nhức		Dhimbje	Bolesti	Хворіючи		Valud	دردها			痛み	Kivut	통증					वेदना	Kaar	Өвдөлт	दर्द									dummy
139	Acknowledge as my Electronic Signature		Reconocer como mi firma electrónica	Reconocer como mi firma electrónica	Bestätigen Sie als meine elektronische Unterschrift	Bevestig mijn Electronische handtekening		Autoriser comme ma signature électronique									Επιβεβαίωση της Ηλεκτρονικής Υπογραφής μου		Reconheça como minha assinatura eletrônica	Reconheça como minha assinatura eletrônica	Reconheça como minha assinatura eletrônica				Potwierdzam jako mój podpis elektroniczny				Recunoastere ca semnatura mea electronica	Xác nhận là Chữ ký Điện tử của tôi				Визнаю своїм електронним підписом			تایید به عنوان امضای الکترونیکی من												Миний Цахим гарын үсгийг хүлээн зөвшөөрөх										dummy
140	Acknowledgment Requested (ISA14)	Begärt godokännande (ISA14)	Solicitud de reconocimiento (ISA14)	Solicitud de reconocimiento (ISA14)	Bestätigung angefordert (ISA14)	Medewerking gevraagd (ISA14)	הודעת אישור מבוקשת (ISA14)	Acquittement demandé (ISA14)	Acquittement demandé (ISA14)		确认要求（ISA14）	確認要求（ISA14）	Запрошено подтверждение	Անհրաժեշտ է հաստատում/ճանաչում (ISA14)		Permintaan Pernyataan (ISA14)	Υπεβλήθη αίτημα επιβεβαίωσης (ISA14)		Verificacao pedida (ISA14)	Solicitação de Requisição (ISA14)	Verificacao pedida (ISA14)	إشعار بإلاستلام  (ISA14)	Bekræftelse er nødvendig (ISA14)	Alındı İsteniyor (ISA14)	Potwierdzenie Oczekiwana (ISA14)		Richiesta di conferma (ISA14)	आभार का अनुरोध( (आई एश ए14)	Confirmare solicitant (ISA 14)	Đã yêu cầu Xác nhận (ISA14)		Kerkohet njohje nga ISA14	Požadovaná potvrzení	Запитане підтвердження (ISA14)		Küsiti kinnitust (ISA14)	درخواست تاییدیه (ISA14)			謝辞要求（ISA14）	Hyväksyminen pyydetty (ISA14)						पोचपावती मागणी (ISA14)	Garwaaqsiga codsiga (ISA 14)	Тооцооны хүсэлт (ISA14)	आभार का अनुरोध( (आई एश ए14)									dummy
141	Acknowledgments, Licensing and Certification	Godkännande, licenser och certifikat	Reconocimientos, Licencias y Certificaciones	Reconocimientos, Licencias y Certificaciones	Bestätigungen, Genehmigungen und Befunde	Medewerkers, Licensie, Certificering	הודעות אישור, רישוי ואישור	Remerciements, Licence et Accréditation	Remerciements, Licence et Accréditation				Подтверждение получения, лицензирование и сертификация	Հաստատում, Լիցենզավորում և Սերտիֆիկացում		Pernyataan, Lisensi dan Sertifikasi	Ευχαριστίες, Αδειοδότηση και Πιστοποίηση		Reconhecimentos, Licenciamento e Certificação	Reconhecimentos, Licenciamento e Certificação	Reconhecimentos, Licenciamento e Certificação	الاشعارات والترخيص والتصديق	Anerkendelser, Licenser og certificering	Yazarlar, Lisans ve Sertifikasyon	Podziękowania, licencjonowania i certyfikacji		Conferme, licenze e certificazioni	अच्क्नोव्लेद्ग्मेंट्स, लाइसेंसिंग और प्रमाणन	Confirmare,licentiere si certificare	Lời cảm ơn, Cấp phép và Chứng chỉ		Njohje, licensim dhe certifikim	Poděkování, licence a certifikace	Визнання, ліцензування та сертифікація		Kinnitused, Litsensid ja Sertifikaadid	تاییدیه ها، صدور مجوز و گواهی			謝辞、ライセンスと認証	Hyväksynnät, lisenssit ja todistukset						घोरतात, परवाना व सर्टिफिकेशन	Garwaaqsiyada, Ogolaanshaha iyo Cadeynta	Талархал, лиценз, гэрчилгээ	अच्क्नोव्लेद्ग्मेंट्स, लाइसेंसिंग और प्रमाणन									dummy
142	ACL	Användarlista (ACL)	ACL	ACL	Zugangskontrollliste	ACL9	ACL	ACL	ACL		ACL	前十字韌帶	ACL			ACL	 		ACL	Acesso	ACL	قائمة التحكم بالوصول	hjemmepleje	EKL	ACL		ACL	ए सी ल	ACL	ACL		ACL	ACL	ACL		ACL(Ligipääsu kontrolli loend)	ACL			アクセス制限（ACL）	Käyttäjät (ACL)	ACL					ACL यांना आधार देतो	ACL	ACL	ए सी ल									dummy
143	ACL Administration	Administration av användarlista (ACL)	Administración del ACL	Administración del ACL	Verwaltung der Zugangskontrollliste	ACL administratie	ניהול ACL	ACL d\'Administration	ACL d\'Administration		ACL管理	訪問控制列表管理	Администрирование ACL	ACL կառավարում		Administrasi ACL	Διαχείριση ACL		Administração ACL	Administração de Acesso	Administração ACL	ادارة قائمة التحكم بالوصول	Hjemmepleje Administration	EKL Yönetimi	ACL administracja		Amministrazione ACL	ए सि ल प्रशासन	ACL Administrare	Quản trị ACL		Administrimi i ACL	Správa ACL	Адміністрування ACL		ACL administreerimine	مدیریت ACL			アクセス管理（ACL）	Käyttäjien hallinta (ACL)						ACL यांना आधार देतो प्रशासन	ACL Maamulka	ACL-ийн захиргаа	ए सि ल प्रशासन									dummy
144	ACL Administration (acl)		Administración del ACL (ACL)	Administración del ACL (ACL) 	Verwaltung der Zugangskontrollliste	Administratie (acl)		Administration de l\'ACL (acl)									Διαχείριση ACL (acl)		Administração de Acesso (acl)	Administração de Acesso (acl)	Administração de Acesso (acl)								ACL Administrare (acl)	Quản trị ACL (acl)				Адміністрування ACL (acl)			مدیریت ACL (ACL)												ACL удирдлага (Acl)										dummy
145	ACL Administration Not Authorized	Ej behörig administrera användarlista (ACL)	Administración del ACL no autorizada	Administración de ACL no autorizada	Zugriff auf Zugangskontrollliste verweigert	ACL administratie. Niet toegestaan	אין הרשאה לניהול ACL	ACL d\'Administration Non Autorisée	ACL d\'Administration Non Autorisée		未授权管理ACL	未授權訪問控制列表管理	Администрирование ACL не разрешено.	ACL կառավարումը թույլատրված չէ		Administrasi ACL Tidak Diizinkan	Δεν έχετε δικαίωμα να τροποποιήσετε τις ACL	ACL Administration Not Authorised	Administração ACL Não Autorizada	Administração de Acesso Não Autorizada	Administração ACL Não Autorizada	المستخدم ليس له صلاحية في ادارة قائمة التحكم بالوصول	Hjemmepleje Administration ikke tilladt	EKL Yönetimine İzin Verilmiyor	ACL administracja nie Autoryzowany		Amministrazione ACL non autorizzata	ए सि ल प्रशासन की अनुमति नहीं है	ACL Administrare neautorizata	Không được quyền Quản trị ACL		Nuk shte autorizuar administrimi i ACL	Správa ACL není autorizována	Адміністрація ACL не авторизована		ACL administreerimine pole lubatud	مدیریت ACL مجاز نیست			アクセス管理（ACL）は認証されていません	Ei lupaa hallinnoida käyttäjiä (ACL)						ACL यांना आधार देतो प्रशासन अधिकृत नाही	ACL Maamulkeeda lama Ogolaan	ACL Захиргаа Зөвшөөрөлгүй байна	ए सि ल प्रशासन की अनुमति नहीं है									dummy
146	ACL check failed																												Verificarea contului în ACL nu a reușit					Перевірка ACL не вдалася																									dummy
147	ACL Fine Granular Control		ACL Control de Grano Fino		Feinkörnige ACL-Steuerung	ACL zeer nauwkeurige controle													Controle granular fino	Controle granular fino	Controle granular fino								Control ACL	Kiểm soát Chi ly ACL				ACL дрібнозернистий Контроль			کنترل با دقت بالای ACL												ACL Нарийн мөхлөгт хяналт										dummy
148	ACL Updated Successfully		ACL actualizada exitósamente	ACL actualizada exitósamente	Zugangskontrollliste erfolgreich geändert	ACL Met succes vernieuwd	ACL עודכן בהצלחה	ACL correctement mis à jour	ACL mis à jour					ACL֊ն հաջողությամբ թարմացվել է		ACL sudah sukses di update	Επιτυχής Ενημέρωση ACL		ACL Atualizado com Sucesso	ACL atualizado com sucesso	ACL Atualizado com Sucesso	تم تحديث ادارة قائمة التحكم بالوصول		EKL başarı ile güncellendi			ACL aggiornato con successo		ACL actualizat cu succes	Cập nhật Thành công ACL		ACL është rifreskuar me sukses	Úspěšná aktualizace ACL	ACL успішно оновлено			ACL با موفقیت به روزرسانی شد			ACLが更新されました	Käyttäjät päivitetty onnistuneesti (ACL)						ACL यांना यशस्वीपणे अद्यतनित	ACL cusbooneysiinteeda waad ku guuleysatey	ACL амжилттай шинэчлэгдсэн										dummy
149	Acne	Akne	Acné	Acné	Akne	Acne	אקנה	Acné	Acné		粉刺	粉刺	Боль	Բշտիկ /ակնե		Jerawat	Ακμή		Acne	Acne	Acne	حب الشباب	Acne	Akne	trądzik		Acne	मुँहासा	Acnee	Mụn trứng cá		Akne	Akné	Вугрі		Akne	آکنه			にきび	Akne	여드름					पुरळ	Finanka wajiga	Батга	मुँहासा									dummy
150	ACO		ACO		ACO	ACO													Ojeto de control de aceso (control de aceso)	Ojeto de control de aceso (control de aceso)	Ojeto de control de aceso (control de aceso)								ACO					ACO			ACO												АКО										dummy
151	ACOM{{Anterior Segment}}		ACOM{{Segmento anterior}}	Segmento Anterior 	ACOM{{vorderes Segment}}	ACOM{{voorste segment}}		ACOM{{Segment Anterieur}}											ACOM{{Segmento Anterior}}	ACOM {{Segmento Anterior}}	ACOM{{Segmento Anterior}}			ÖSEG{{Ön Segment}}					ACOM{{Segment Anterior}}					ACOM{{передній сегмент}}			ACOM {{قرنیه}}												ACOM {{Өмнөх хэсэг}}										dummy
152	Act	Aktuellt	Acta	Acta	Behandlung	Act	פעולה	Acte	Acte		行动	行動	Контракт	Ակտ/գործ		Tindakan	Ενέργεια		Procedimento	Procedimento	Procedimento	الحدث	Akt	Resmi yazı	działać		Atto	कार्य	Act	Được dùng		Akt	Výkon	Дія		Leping	عمل			行為	Ajankohtaista						कायदा	Fal	Хууль	कार्य									dummy
153	Act Date	Aktivitetsdatum	Fecha de Acta	Fecha de Acta	Behandlungsdatum	Act datum	תאריך פעולה	Date d\'Acte	Date d\'Acte		行动日期	行動日期	Дата подписания контракта	Ակտի/գործողության  ամսաթիվ		Tanggal tindakan			Data do Procedimento	Data do Procedimento	Data do Procedimento	تاريخ الحدوث	aktivitetsdato	Resmi yazı tarihi	Ustaw Date		Data Atto	कार्य की तारीख	Actul de date	Ngày Được dùng		Date akti	Datum výkonu	Дата акта		Lepingu koostamise kuupäev	تاریخ عمل			法律日	Tapahtuman päivämäärä						कायदा तारीख	Taariikhda falka	Үйлчилгээний огноо	कार्य की तारीख									dummy
154	Action	Åtgärd	Acción	Accion	Massnahme	Actie	פעולה	Action	Action	Handling	行动	行動	Действие	Ակտ/գործողություն		Tindakan	Ενέργεια		Ação	Ação	Ação	الحدث	handling	Eylem	Działanie		Azione	कार्रवाई	Actiune	Hành động		Veprimi	Akce	Дія		Tegevus	اقدام			アクション	Toimenpide	행위					क्रिया	Falid	Үйлдэл	कार्रवाई									dummy
155	Action Taken		Acción tomada	Acción tomada	Massnahme ergriffen	AActie ondernomen		Action entreprise											Medidas tomadas	Medidas tomadas	Medidas tomadas	الإجراء المتخذ			Działanie podjęte				Actiune intreprinsa	Đã làm Hành động				вжитий захід			اقدام انجام شد												Авсан арга хэмжээ										dummy
156	Action Taken Time		Tiempo de la acción tomada	Tiempo de la acción tomada	Massnahme ergriffen Zeit	Actie ondernomen )tijd)		Durée de l\'action entreprise									Ώρα Πραγματοποίησης Ενέργειας		Tempo de ação realizada	Tempo de ação realizada	Tempo de ação realizada	توقيت الإجراء			Czas podjętego działania				Timp de actiune	Thời gian Đã làm Hành động				Час Вжиття Заходів			زمان صرف شده برای این کار												Арга хэмжээ авах цаг										dummy
157	Action User		Usuario de la acción	Usuario de la acción	Massnahme Benutzer	Actie  (gebruiker)													Usuário de ação	Usuário de ação	Usuário de ação				Użytkownik działania				Actiune utilizator	Người Hành động				Дія Користувача			کاربر اقدام کننده												Үйлдлийн хэрэглэгч										dummy
158	Actions	Åtgärder	Acciones	Acciones	Massnahmen	Acties	פעולות	Actions	Actions	Handlinger	行动	行動	Действия	Գործողություններ		Tindakan	Ενέργειες		Ações	Ações	Ações	الاحداث	Handlinger	Eylemler	Działania		Azioni	कार्रवाई	Actiuni	Những Hoạt động		Veprime	Akce	Дія		Tegevused	اقدامات			アクション	Toimenpiteet	행위들					क्रिया	Falal	Үйлдэл	कार्रवाई									dummy
159	Activate		Activar	Activar	Aktivieren	Activeren	הפעל	Activez	Activez					Ակտիվացնել		Aktifasi	Ενεργοποίηση		Ativar	Ativar	Ativar			Etkinleştir	Aktywuj				Activare	Kích hoạt		Aktivizo		Активувати			فعال کردن			有効								U kicid	Идэвхжүүл										dummy
160	Activate CCR/CCD Reporting	Rapportera fortsatt vårdbegäran (CCR/CCD)	Activar Reportes CCR/CCD	Activar Reportes CCR/CCD	CCR/CCD Bericht aktivieren	Activeren van CCR/CCD rapportage	הפעל דיווח CCR/CCD	Activer le Rapport CCR/CCD	Activer le Rapport CCR/CCD		启动CCR/CCD报表	啟動CCR/ CCD的報表	Активировать сообщения CCR/CCD	Ակտիվացնել  CCR/CCD հաշվետվությունը		Aktifkan Pelaporan CCR/CCD	Ενεργοποίηση Αναφοράς CCR/CCD		Ativar Relatórios CCR/CCD	Ativar Relatórios CCR/CCD	Ativar Relatórios CCR/CCD	تفعيل تقارير  CCR / CCD	Aktiver CCR/CCD Reporting	CCR/CCD raporlamayı etkinleştir	aktywować CCR / CCD Sprawozdawczość		Attiva resoconti CCR/CCD	सीसीआर / सीसीडी रिपोर्टिंग सक्रिय करना	Activare CCR/CCD de raportare	Kích hoạt việc Báo cáo CCR / CCD		Aktivizo rapotimet CCR/CCD	Aktivovat CCR/CCD reporting	Активація звітів CCR / CCD		Aktiveeri CCR/CCD raport	فعال کردن گزارش CCR/CCD			CCR / CCDレポートをアクティブに	Aktivoi CCR / CCD raportointi						CCR / सीसीडीची अहवाल सक्रिय	U kici CCR/CCD wargalinta	CCR / CCD тайланг идэвхжүүлэх	सीसीआर / सीसीडी रिपोर्टिंग सक्रिय करना									dummy
161	activate to sort column ascending		Activar para ordenar columnas en orden ascendente	Activar para ordenar columnas ascendentemente 	aktivieren um Spalte aufsteigend zu sortieren	Sorteer kolom activeren oplopend		activez pour trier la colonne par ordre croissant									Ενεργοποιήστε για αύξουσα ταξινόμηση		activar para ordenar a coluna ascendente	activar para ordenar a coluna ascendente	activar para ordenar a coluna ascendente				aktywuj, aby posortować kolumnę rosnąco				activare pentru a sorta ascendent o coloana	kích hoạt để sắp xếp cột tăng dần				активація для сортування стовпців за зростанням			فعال کنید تا ستون به صورت صعودی مرتب شود												өгсөх баганыг эрэмбэлэхийн тулд идэвхжүүлнэ үү										dummy
162	activate to sort column descending		Activar para ordenar columnas en orden descendente	Activar para ordenar columnas descendentemente 	aktivieren um Spalte absteigend zu sortieren	Sorteer kolom actieveren aflopend		activez pour trier la colonne par ordre décroissant									Ενεργοποιήστε για φθίνουσα ταξινόμηση		activar para ordenar a coluna descendente	activar para ordenar a coluna descendente	activar para ordenar a coluna descendente				aktywuj, aby posortować kolumnę malejąco				activare pentru a sorta descendent o coloana	kích hoạt để sắp xếp cột giảm dần				активація для сортування стовпців за спаданням			فعال کنید تا ستون به صورت نزولی مرتب شود												баганыг буурч эрэмбэлэхийн тулд идэвхжүүлнэ үү										dummy
